주소,위도좌표,역등급,관련노선,열차정차횟수,역이름,소속지사,역연혁,경도좌표,역이름_중국어,취급업무,역이름_영어,역소개,입력일
서울시 중구 한강대로 405,37.557863,1,"경부선(고속),경전선(고속),동해선(고속),호남선(고속),전라선(고속),강릉선(고속),경부선",여객열차 257회,서울역,서울본부," 날짜와 연혁내용을 보여주는 역 연혁표입니다.   날짜 내용      1900.07.08   경성역으로 영업개시     1905.03.24   남대문역으로 역명 개칭 (경성 남대문)     1915.10.15   경성역으로 명칭 환원 (남대문 경성)     1922.06.01   현 서울역사 신축 착공     1923.05.20   현 서울역사 정초     1925.09.30   현 서울역사 준공     1925.10.15   현 서울역에서 영업개시     1947.11.01   서울역으로 역명 개칭     1957.12.30   서울 남부역사 신설 준공     1969.02.14   서울 남부역사 준공     1969.02.15   서기관에서 부이사관역으로 승격     1969.09.18   남부관광싸롱 개업     1970.07.06   서울 동부역(문통센타)에서 특급승차권 발매     1974.05.10   서부역사 신축착공     1974.08.15   서울역 지하 전철 개통     1975.08.30   서부역사 신축준공     1975.09.18   서울역과 서부역을 연결하는 지하도 개통     1977.01.22   서울 남부역 능교 개통     1979.07.01   중부역사 신축준공     1981.09.25   서울역사 서울특별시 사적 제284호로 지정     1982.09.27   지하집표소 및 경부선 개표소 설치     1982.12.21   호남, 전라선 전용개표소 설치     1983.09.19   서울역 남부 집표소에 에스카레이터 설치     1988.09.12   서울역 민자역사 개관     1993.05.01   유료휴게실 운영개시 (철도청고시1993-19호)     1995.07.01   유료휴게실 폐지 (철도청고시1995-24호)     2000.01.01   서울지역관리역으로 직제 변경     2003.11.28   민자역사 준공, 소재지 이전(중구 봉래동2가 용산구 동자동)     2003.12.31   고속철도 서울역 준공     2004.04.01   KTX 운행 개시     2006.05.01   소화물 취급 중지 (건설교통부고시2006-142호)     2006.07.01   지역관리역제 페지로 보통역으로 조정     2008.12.15   장항선 (천안 ~ 신창) 구간 복선 전철화 개통으로 2009년 6월 1일부터 (서울 ~ 신창) 누리로 운행 개시     2009.07.01   수도권 전철 경의선(현 수도권 전철 경의·중앙선) 개통으로 통근열차 운행 종료 (서울 ~ 도라산 구간에서 문산 ~ 도라산 구간으로 단축)     2013.04.12   중부내륙순환열차 운행 개시     2014.05.04   평화열차 운행 개시     2014.05.12   경부선 ITX-새마을 운행 개시     2014.06.01   경전선 ITX-새마을 운행 개시     2014.10.01   남도해양열차 운행 개시     2016.12.09   서울~신창간 누리로 운행 중지 및 호남선, 전라선 KTX 운행 개시     2017.02.28   서울~신창간 누리로 운행 재개     2017.12.22   강릉선 KTX 운행 개시     2018.07.01   충북선 누리로 운행 재개     2019.04.01   평화열차 경원선 운행 중지     2019.10.02   평화열차 경의선 운행 중지     2019.12.30   서울~신창간 누리로 다시 운행 중지와 함께 급행열차 서울~신창 구간을 청량리~신창 구간으로 변경     2020.01.13   누리로 재운행 개시(서울~신창)승차홈은 1번2번타는 곳(구 서울역 신창급행)     2020.02.03   중부내륙순환열차 운행 중지     2020.03.02   충북선 누리로,광주선(서울 ~ 광주),호남선,운행 중지     2020.05.23   누리로 운행중지(서울~신창)     2021.07.   강릉선·중앙선 KTX 복합열차 운행예정    ",126.969468,서울 驛,"여객취급,승차권발매",Seoul Station,"서울역(Seoul station, 서울驛)은 서울특별시 용산구와 중구에 위치한 철도역이다. 경부선과 경의선의 기점이며 경부고속철도와 경부선 계통의 열차가 출발하는 중추 역할을 하고 있다. 동광장 방면으로 수도권 전철 1호선, 4호선, 경의중앙선이, 서광장 지하로 인천국제공항철도가 통과하고 있다. 현재 사용 중인 역사는 2003년에 개장한 민자역사이며, 민자역사 이전에 사용하던 1925년에 건설된 역사 건물은 문화역서울 284라는 이름으로 보존되어 있다. 1900년 경성역으로 개장되었으며, 1905년 남대문역으로 명칭이 변경되었다. 1923년 다시 경성역으로 바뀌었고, 1925년 역사(驛舍)가 준공되었다. 1946년 광복 1주년을 맞아 일제강점기의 명칭인 경성부를 서울시라 칭하기로 한 서울시 헌장이 공포되었고, 이에 따라 같은 해 11월 1일부터 서울역이라 부르게 되었다.하루 평균 9만여 명이 이용하는, 대한민국 수도인 서울의 관문이라고 할 수 있다. 한국 철도의 중추 간선노선인 경부선과 경의선의 시종착역으로, 경부선 서울역은 종착역인 부산역까지 거리가 441.7㎞이며, 경부고속철도(KTX)는 408.5㎞이다. 경의선은 도라산까지 55.6㎞이다.경부선은 새마을호·무궁화호·KTX가 운행되며, 통일호 운행은 2004년 4월부터 폐지되었다. 새마을호·무궁화호는 대전·김천·동대구·부산 방면, KTX는 광명·대전·동대구·부산 방면으로 운행된다. 경의선은 새마을호와 통근열차를 취급하며 일산·금촌·문산·도라산 방면으로 운행된다.지하철 서울역은 1호선과 4호선이 만나는 환승역으로, 1974년 8월 15일 개통하였을 때 명칭은 서울역앞이었다. 1호선은 시흥·수원·천안 방면의 서울~천안 급행열차가 하루 3회 운행된다. 과거에는 경부선 외에도 호남선·전라선·장항선 등 모든 장거리 열차가 운행되었으나 2004년 4월 KTX가 개통된 뒤부터 호남선·전라선·장항선은 용산역에서 출발하게 되었다. 2003년 12월 완공된 신축 역사에는 백화점이 입점하고 주변에 대형할인점이 들어서는 등 여행과 쇼핑을 겸할 수 있는 복합역으로 조성되었다.",2021-09-29
서울특별시 용산구 한강대로 23길 55,37.529567,1,"경부선(고속),호남선(고속),전라선(고속),호남선,전라선,장항선","여객열차 152회, 전동열차 정차",용산역,서울본부," 날짜와 연혁내용을 보여주는 역 연혁표입니다.   날짜 내용      1900.07.08   보통역으로 영업개시(3.5평 목조)     1906.11.01   역사 신축 준공(목조2층, 일부3층)     1932.03.05   현 역사 신축 준공     1968.08.09   경원선 서울-용산간 복선준공 및 고가입체교 개통     1971.09.10   민수용 무연탄 도착취급역 지정 (철도청고시 제1971-37호)     1972.09.19   화물센터 준공 및 컨테이너 화물수송 개시     1974.08.15   수도권전철 운행개시     1977.12.30   컨테이너 기지 설치     1978.12.30   전철역사 준공     1984.07.20   컨테이너 업무 의왕역(現오봉역)으로 이전     1988.05.16   사무관(5급)역으로 승격     1990.06.04   서부역사 준공 영업개시     1991.01.07   서기관(4급)역으로 승격     2001.01.--   용산민자역사 착공     2004.04.01   고속철도 개통     2004.10.08   용산민자역사 준공(연면적82,000평)     2006.05.01   소화물 취급 중지     2004.12.15   용산-부산 간 경부선 전 열차 운행 중지     2008.01.01   용산-장항(현 장항화물역) 간 전 열차가 장항선 연장 개통으로 익산역까지 운행     2008.12.01   용산-광명간 셔틀 전철 운행 중지     2009.06.01   누리로 열차 운행 개시     2010.01.01   수도권 전철 1호선 과 수도권 전철 중앙선 2번 승강장 내 스크린도어 설치     2010.12.30   화물 취급 중지(국토해양부고시 제2010-987호)     2012.02.28   경춘선 ITX-청춘 운행 개시     2014.05.12   호남선 ITX-새마을 운행 개시     2014.06.01   전라선 ITX-새마을 운행 개시     2014.12.27   문산역 ~용문역 간 수도권 전철 경의·중앙선 직결 운행 개시로 중간역이 됨     2015.02.05   서해금빛열차(WEST GOLD TRAIN) 운행 개시     2015.06.29   1, 4번 승강장 스크린도어 설치 완료     2016.12.09   경부선 , 동해선 KTX 운행 개시     2016.12.31   전철역 개찰구 구조 개선 완료     2017.04.10   여객철도와 광역전철 간 환승통로 개통     2017.05.01   경부선 ITX-청춘 운행 개시     2017.07.07   경인선 특급 운행 개시     2018.03.23   경부선 ITX-청춘 운행 중지     2018.07.01   경부선 , 동해선 KTX 운행 중지     2020.03.02   호남선 누리로 운행 중지    ",126.963918,龍 山 驛,"여객취급,승차권발매,화물취급",Yongsan Station,"용산역(Yongsan station, 龍山驛)은 서울특별시 용산구 한강로3가에 있는 경부선과 경원선의 철도역이다. 호남선, 전라선, 장항선 일반 열차와 KTX의 기점이다. 공식적으로는 경부선 상의 역이지만 경부선 계열 열차들은 전부 이 역을 통과하며 이 역에 정차하는 열차들은 전부 호남선 또는 전라선 계열 열차들이다. 경원선의 기점이지만 용산~청량리 구간을 운행하는 임시열차도 모두 이 역을 무정차 통과하며, ITX-청춘 열차만 이 역에서 시·종착한다. 경부선 상의 수도권 전철 1호선과 경원선, 용산선 상의 수도권 전철 경의·중앙선의 환승역이고, 동인천 · 천안 · 신창행 급행열차가 이 역에서 출발하였으나, 천안/신창행 급행열차는 청량리역으로 변경되었다. 수도권 전철 경의·중앙선은 이 역부터 용문역 지나서 지평역까지 지상 구간이다. ITX-청춘은 이 역부터 춘천역까지 모두 지상 구간이다. 수도권 전철 1호선은 심야에 급행 1편성이 주박한다. 수도권 전철 경의·중앙선은 심야에 2편성이 주박한다. ",2021-09-29
서울특별시 영등포구 경인로 846,37.517699,1,"경부선(고속),경부선,호남선,전라선,장항선",여객열차 198회,영등포역,수도권광역본부," 날짜와 연혁내용을 보여주는 역 연혁표입니다.   날짜 내용      1899.09.18   경인선 개통과 동시에 보통역으로 영업개시     1936.04.01   경인선에서 경부선으로 편입     1938.04.01   남경성역으로 역명 변경     1943.04.01   영등포역으로 역명 재변경     1949.01.01   사무관(5급)역으로 승격     1950.06.30   6.25동란으로 역사 소실     1964.09.01   역사신축 착공     1965.01.12   역사 신축 준공     1968.02.01   서기관(4급)역으로 승격     1971.09.10   민수용 무연탄 도착 취급 지정 (철도청고시 제1971-37호)     1971.09.15   특급열차 최초로 정차     1974.08.15   수도권전철 운행개시     1978.12.26   컨테이너 기지 개설     1979.02.21   수도권 전철역 육교준공     1979.04.01   전철승차권 자동발매기 설치     1979.12.31   수도권전철 전용역사 준공     1987.09.01   민자역사 착공     1990.07.21   민자역사 준공     2006.05.01   소화물 취급 중지     2006.07.01   지역관리역제 폐지로 보통역으로 조정     2009.06.01   누리로 열차 운행 개시     2010.01.01   전철 승강장 스크린도어 설치     2010.11.01   역사 리모델링으로 현재의 모습이 됨.     2014.05.12   ITX-새마을 운행 개시 (경부선, 호남선)     2014.06.01   ITX-새마을 운행 개시 (경전선, 전라선)     2014.10.01   남도해양관광열차 운행 개시     2015.02.05   서해금빛열차 운행 개시     2015.05.29   화물 취급 중지(국토교통부고시 제2015-332호)     2015.06.01   중부내륙순환열차 운행 개시     2016.05.16   중부내륙순환열차 운행 중지     2016.07.16   중부내륙순환열차 운행 재개     2018.03.23   ITX-청춘 (서울~대전) 운행중지     2018.07.01   KTX(수원경유) 필수정차     2019.12.30   서울~신창 간 누리로 다시 운행 중지     2020.01.13   누리로 재운행 개시(서울~신창)     2020.02.03   중부내륙순환열차 운행 중지     2020.03.02   호남선 누리로,충북선 (서울~제천) 운행 중지     2020.05.23   누리로 운행중지(서울~신창)    ",126.912623,永 登 浦 驛,"여객취급,승차권발매,화물취급",Yeongdeungpo Station,"영등포역(Yeongdeungpo station, 永登浦驛)은 서울특별시 영등포구 영등포동에 있는 경부선의 철도역이자 수도권 전철 1호선의 전철역이다. 서울특별시의 중추 역 중 하나로, 서울 서남권의 수요를 담당한다. 역 건물은 롯데건설이 건설한 민자역사로, 역사 내에 롯데백화점이 위치한다. 추후 신안산선이 개통되면 환승역이 될 예정이다. 1899년 9월 18일 경인선 개통 당시에는 노량진역이 영등포역 자리에 있었는데, 홍수 때문에 한강 가까이 정거장을 지을 수 없었기 때문이었다. 1900년 7월 8일 경인선이 완전 개통되면서 노량진역은 현재의 위치로 이전하였다. 영등포에 있던 기존 정거장 시설은 운전취급을 위하여 존치하였다가, 영등포 일대 주민들이 열차 정차를 요구하자 경인철도합자회사는 해당 시설을 영등포역의 영업에 전용(轉用)하였다.",2021-09-29
경기도 광명시 광명역로 21,37.420592,1,"경부선(고속),경전선(고속),동해선(고속),호남선(고속),전라선(고속)",여객열차 125회(주말127회),광명역,수도권광역본부, 날짜와 연혁내용을 보여주는 역 연혁표입니다.   날짜 내용     1994.10.14 역사 위치 확정   1999.12 역사 신축 착공   2000.08.28 역명 변경(남서울역-&gt; 광명역)   2004.03.27 역사 신축 준공   2004.04.01 보통역으로 영업개시   2006.12.15 수도권 전철 1호선(용산-광명역 간 셔틀전철) 개통   2008.12.01 셔틀전철 영등포역으로 시.종착역 단축 및 4량 1편성으로 변경    2011.02.11   일직터널 KTX 열차 탈선 사고     2012.12.04   CTC 제어 운전간이역으로 변경     2016.09.24   경강선 개통과 함께 역번호를 K410에서 P144-1로 변경    ,126.881594,光 明 驛,"여객취급,승차권발매",Gwangmyeong Station,"광명역(Gwangmyeong station, 光明驛)은 대한민국 경기도 광명시 일직동에 있는 경부고속철도와 수도권 전철 1호선의 철도역이다. 편도 KTX 128회가 정차한다. 접근성 편의를 위하여 수도권 전철 1호선(영등포-광명 간 셔틀전철)이 운행되고 있다. 건설 당시 역명은 남서울역이었으나, 2000년 8월 28일에 광명시를 본따 현재의 광명역으로 변경되었으며, 개통 이후 서울 지하철 7호선의 광명역은 광명사거리역으로 역명이 변경되었다. 향후 신안산선, 경강선(월곶~판교 구간)이 개통되면 환승역이 될 예정이며, 광명셔틀전철은 폐지할 예정이다. 경부고속선과 수도권 전철 1호선은 이 역에만 지하 구간이다. ",2021-09-29
서울특별시 동대문구 왕산로 214,37.11298,2,"강릉선(고속),중앙선(고속),중앙선",여객열차 10회,청량리역,서울본부," 날짜와 연혁내용을 보여주는 역 연혁표입니다.   날짜 내용      1911.10.15   보통역으로 영업개시 (조선총독부 관보고시 제 1911-296호)     1938.05.01   동경성역으로 역명 개칭     1942.06.01   청량리역으로 역명 개칭     1650.06.26   6.25동란으로 역사 소실     1959.08.01   역사 신축 착공     1959.11.06   역사 신축 준공     1976.07.10   화물 취급 중지 (철도청고시1976-15호)     1977.12.10   경춘선 전용역사 증축     1999.07.--   민자역사 추진에 따른 가역사 이전     2005.12.16   1호선 용산-성북간 전철 운행 개통 폐지 및 수도권 전철 중앙선 개통     2006.05.01   소화물 취급 중지 (건설교통부고시2006-142호)     2006.07.01   지역관리역제 폐지로 보통역으로 조정     2006.09.13   검차고 등록문화재 지정     2007.02.--   구 역사 철거 및 민자역사 건축 시작     2010.03.05   민자역사 신축 이전     2010.08.18   민자역사 준공     2010.08.20   서울 지하철 1호선 지하 청량리역과 수도권 전철 중앙선의 지상역과의 환승 통로 개통     2010.12.15   중앙선 청량리~안동 새마을호 운행 재개     2010.12.21   경춘선 청량리~남춘천 무궁화호 운행 종료     2011.   경춘선 고상홈 개조 (1, 2번홈)     2012.02.28   경춘선 용산~청량리~춘천 좌석급행 전동열차 ITX-청춘 운행 개시     2013.04.12   중부내륙순환열차(O-Train) 운행 개시     2014.08.01   평화열차(DMZ train) 운행 개시     2014.11.01   중앙선 청량리~안동 새마을호 운행 종료 및 중앙선 청량리~영주 ITX-새마을 운행 개시     2015.01.22   정선아리랑열차(A-Train) 운행 개시     2015.06.01   중부내륙순환열차(O-Train) 운행 계통 변경     2016.09.26   수도권 전철 경춘선 청량리역 연장, 편도 20회 운행     2017.12.22   강릉선 KTX 운행 개시     2018.12.31   분당선 연장 운행 평일에 한해 상·하행 18회 운행     2020.03.02   강릉삼각선 개통으로 강릉선 KTX의 일부가 동해역으로 연장 운행 및 청량리 ~ 강릉 무궁화호 종착역이 동해역으로 단축     2020.03.07   수도권 전철 수인·분당선 주말에 한해 상·하행 10회 운행     2021.01.05   중앙선 KTX-이음 운행 개시     2021.08.01   강릉선 KTX-이음 운행 개시    ",129.036482,淸凉里,"여객취급,승차권발매,화물취급",Cheongnyangni,"청량리역(淸凉里驛) 또는 청량리(서울시립대입구)역(Cheongnyangni(University of Seoul) station, 淸凉里(市立大入口)驛)은 대한민국 서울특별시 동대문구 청량리동, 전농동 경계에 있는 경원선, 중앙선과 서울 지하철 1호선의 철도역이자, 수도권 전철 1호선, 수도권 전철 경의·중앙선, 수도권 전철 경춘선, 수도권 전철 수인·분당선의 전철역이자 환승역이다. 1938년 5월 1일에 동경성역(東京城驛)으로 역명이 변경되었다가 1942년 6월 1일에 본래의 역명인 청량리역으로 다시 환원되었다. 중앙선은 이 역부터 경주역까지 모두 지상 구간이다. 수도권 전철 1호선은 이 역부터 서울역까지 지하 구간이고 서울교통공사 구간이다. 수도권 전철 경춘선은 이 역부터 상봉역 지나서 춘천역까지 모두 지상 구간이다. 수도권 전철 경의·중앙선은 심야에 3편성이 주박한다. ITX-청춘열차가 심야에 1편성이 주박한다. ",2021-09-29
경기도 안양시 만안구 만안로 244,37.401933,2,"경부선,호남선,전라선,장항선","여객열차 31회, 전동열차 정차",안양역,수도권광역본부, 날짜와 연혁내용을 보여주는 역 연혁표입니다.   날짜 내용     1905.01.01  보통역으로 영업개시   1951.01.26  6.25동란으로 역사 소실   1956.06.23  역사 신축 준공   1974.08.15  역사 신축 준공과 동시에 수도권전철 운행개시   1992.03.27  무연탄 및 아스팔트 도착 화물에 한하여 화물 취급 지정(철도청고시1992-6호)   1994.01.11  화물 취급 중지(철도청고시1994-1호)   2001.12.--  안양민자역사 준공   2005.01.20  수도권전철 1호선 급행열차 정차   2009.06.01  누리로 열차 운행개시    2010.   스크린도어 설치     2019.12.30   서울~신창간 누리로 다시 운행 중지     2020.01.13   누리로 재운행 개시(서울~신창)     2020.03.02   호남선 누리로 운행 중지     2020.05.23   누리로 운행중지(서울~신창)    ,126.922651,安養,"여객취급,일반철도)",Anyang,"안양역(Anyang station, 安養驛)은 경기도 안양시 만안구 안양동에 있는 경부선의 철도역이다. 일부 무궁화호와 수도권 전철 1호선의 모든 열차가 정차한다. 역은 엔터식스 2층 통로와 연결되어 있으며 인근에 대림대학교, 연성대학교, 안양대학교, 안양1번가, 이마트 안양점 등이 있다. 향후 월곶-판교선 (경강선)이 개통되면 환승역이 될 예정이며, 급행열차 운행 일환으로 대피선 설치 계획이 있다. ",2021-09-29
서울특별시 중랑구 망우로 297,37.5969776,3,강릉선(고속),전동열차 정차,상봉역,수도권광역본부," 날짜와 연혁내용을 보여주는 역 연혁표입니다.   날짜 내용      1996.10.11   서울 지하철 7호선 개통과 함께 영업 개시     2010.12.21   중앙선과 망우선 역 신설과 함께 환승역이 됨(국토해양부 고시 제2010-676호, 국토해양부 고시 제2010-916호)     2012.02.28   ITX-청춘 운행과 함께 수도권 전철 경춘선 급행열차 폐지     2013.11.04   광운대역행 경춘선 열차 운행 개시 (1일 2회)     2015.   경의중앙선과 경춘선 승강장 스크린도어 설치     2016.09.26   경춘선 일부 열차가 청량리역으로 연장     2017.12.22   강릉선 KTX 정차 개시. KTX 전용 승강장은 망우역과도 연결된다.     2021.07.   중앙선, 강릉선 복합열차 운행    ",127.0857994,上鳳,"여객취급,승차권발매",Sangbong,"상봉역(Sangbong station, 上鳳驛) 또는 상봉(시외버스터미널)역(Sangbong (Intercity Bus Terminal) station, 上鳳(市外버스터미널)驛)은 서울특별시 중랑구 상봉동에 있는 중앙선과 망우선, 서울 지하철 7호선의 철도역으로, 강릉선 KTX, 서울 지하철 7호선, 수도권 전철 경의·중앙선, 수도권 전철 경춘선이 정차하는 역이다. 경춘선 전동열차 대부분이 이역에 시 종착하며, 일부는 청량리역이나 광운대역까지 운행된다. ",2021-09-29
경기도 수원시 팔달구 덕영대로 924 ,37.266118,1,"경부선(고속),경부선,호남선,전라선,장항선","여객열차 198회, 전동열차 정차",수원역,수도권광역본부," 날짜와 연혁내용을 보여주는 역 연혁표입니다.   날짜 내용      1905.01.01   경부선 개통과 동시에 보통역으로 영업개시     1930.12.01   수여선(수원~여주 간) 개통     1937.08.06   수인선(수원~인천 간) 개통     1949.01.01   사무관(5급)역으로 승격     1961.01.25   역사 신축 착공     1961.09.20   역사 신축 준공     1963.06.01   서기관(4급)역으로 승격     1971.09.10   무연탄 화물 도착역 지정 (철도청고시 제1971-37호)     1972.03.31   수여선 폐선     1974.08.15   수도권 전철 운행개시 (서울~수원 간)     1975.06.07   전철 역사 착공     1975.12.31   전철 역사 준공     1983.06.15   컨테이너 화물기지 준공     1996.01.01   수인선 폐선     2000.01.01   지역관리역으로 승격     2003.02.01   수원민자역사 준공     2003.04.30   수도권 전철 연장 개통(수원~병점 간)     2006.05.01   소화물 취급 중지     2006.07.01   지역관리역제 폐지로 보통역으로 조정     2009.06.01   누리로 열차 운행 개시     2010.11.01   KTX 운행 개시     2013.05.15   중부내륙순환열차 운행 개시     2013.10.07   분당선 수원역 철도거리표 고시(국토교통부고시 제2013-585호)     2013.11.30   분당선 개통과 함께 환승역이 됨     2014.05.12   ITX-새마을 운행 개시     2014.06.16   수도권서부본부 수원관리역으로 관할 일원화     2014.08.18   태백선 열차 충돌 사고에 따라 중부내륙순환열차 운행 중단     2015.02.05   서해금빛열차 운행 개시     2015.05.02   정선아리랑열차 노선 중복 문제에 따라 중부내륙순환열차 운행 재개     2015.09.04   수인선 수원~한대앞 철도거리표에서 삭제(국토교통부 고시 제2015-620호)     2017.05.01   ITX-청춘 (용산-대전) 운행 개시     2017.06.16   수원역환승센터 개통     2018.03.23   ITX-청춘 (용산-대전) 운행 중지     2019.12.30   서울~신창간 누리로 다시 운행 중지     2020.01.13   누리로 재운행 개시(서울~신창)     2020.02.02   수원 - 한대앞 구간 종합시험운행     2020.02.03   중부내륙순환열차 운행 중지     2020.03.02   호남선, 충북선 누리로 운행 중지     2020.05.23   누리로 운행중지(서울~신창)     2020.09.12   분당선,수인선 직결 운행에 따라 수도권 전철 수인·분당선으로 노선명 변경. 중간역이 됨    ",126.999941,水 原 驛,"여객취급,승차권발매,화물취급",Suwon Station,"수원역(Suwon station, 水原驛)은 경기도 수원시 팔달구 매산로1가에 위치한 경부선, 분당선, 수인선의 철도역이다. 전철은 수도권 전철 1호선이 경부선에서, 수도권 전철 수인·분당선이 분당선과 수인선에서 운행된다. 현재의 역사는 민자역사로서 AK플라자 수원점이 영업 중이다. ITX-새마을, 무궁화호를 포함한 모든 여객 열차가 정차하며, 2010년 11월 1일부터 하루 왕복 8편성의 KTX도 정차하게 되었다.",2021-09-29
경기도 오산시 오산동 역광장로 59,37.146584,3,"경부선,전라선","여객열차 28회, 전동열차 정차",오산역,수도권광역본부, 날짜와 연혁내용을 보여주는 역 연혁표입니다.   날짜 내용      1905.01.01   보통역으로 영업개시     1950.06.30   6.25동란으로 역사 소실     1956.12.12   역사 신축 준공     1973.04.01   사무관(5급)역으로 승격     1977.05.01   주사(6급)역으로 격하     1994.01.01   소화물 취급 중지 (철도청고시1993-64호)     2002.11.28   역사 신축 준공     2005.01.20   수도권 전철 개통(병점~천안간)     2008.12.15   장항선 (천안~신창간) 복선 전철화 개통으로 2009년 6월 1일 (서울~신창간) 누리로 운행 개시     2009.06.01   누리로 열차 운행 개시     2009.10.31   화물 취급 중지(대한민국관보 국토해양부 고시 제2009-1006호)     2013.10.01   오산역 복합환승센터 착공     2017.11.01   오산역 복합환승센터 개통     2019.12.30   서울~신창간 누리로 다시 운행 중지     2020.01.13   누리로 재운행 개시(서울~신창)     2020.03.02   호남선 누리로 운행 중지     2020.05.23   누리로 운행중지(서울~신창)    ,127.066772,烏 山 驛,"여객취급,승차권발매,화물취급",Osan Station,"오산역(Osan station, 烏山驛)은 경기도 오산시 오산동에 있는 경부선의 철도역이다. 일부 무궁화호와 수도권 전철 1호선 모든 열차가 정차한다. 1905년 1월 1일 보통역으로 영업을 시작하였다. 오산의 지명유래는 여러가지 설이 있다. 예전에 이 지역에 까마귀가 많다고 하여 오산(烏山)이라고 부르게 되었다는 설과, 멀리 외딴 산이 있었는데, '외뫼'→'외미'→'오미'로 부르다가 '오산'으로 불렀다는 설도 있으며, 역시 멀리 외딴 산이 있어 '고산(孤山)'이라 부르다가 음이 변화하여 오산으로 되었다는 학설도 있다. 대체적으로 볼 때, 홀로 외딴 곳에 떨어져 있는 독산(禿山)을 상징하면서 오산(烏山)이라 부른 것으로 보인다. ",2021-09-29
경기도 평택시 탄현로 51,37.056459,3,"경부선,호남선","여객열차 27회, 전동열차 정차",서정리역,수도권광역본부, 날짜와 연혁내용을 보여주는 역 연혁표입니다.   날짜 내용     1905.01.01  보통역으로 영업개시   1932.12.31  역사 신축 준공   1971.09.10  무연탄 화물 도착역 지정   1994.01.01  소화물 취급 중지(철도청고시1993-64호)   2004.01.01  현 역사 신축 준공   2005.01.20  수도권 전철 1호선개통   2009.06.01  누리로 열차 운행개시    2010.12.30   화물 취급 중지(국토해양부고시 제2010-987호)     2019.12.30   서울~신창간 누리로 다시 운행 중지     2020.01.13   누리로 재운행 개시(서울~신창)     2020.05.23   누리로 운행중지(서울~신창)    ,127.052839,西井里,"여객취급,승차권발매,화물취급",Seojeong-ri,"서정리역(Seojeong-ri station, 西井里驛)은 경기도 평택시 서정동에 위치한 경부선의 철도역이다. 일부 무궁화호와 수도권 전철 1호선 모든 열차가 정차한다. 부역명은 국제대학(國際大學)으로, 인근에 국제대학교가 위치한다.",2021-09-29
경기도 평택시 평택로 51,36.990316,3,"경부선,호남선,전라선,장항선","여객열차 159회,  전동열차 정차",평택역,수도권광역본부," 날짜와 연혁내용을 보여주는 역 연혁표입니다.   날짜 내용      1905.01.01   보통역으로 영업개시     1953.10.01   역사 신축 준공     1955.08.30   역사 복구 준공     1970.06.10   구름다리 준공     1971.09.10   민수용 무연탄도착취급역 지정 (철도청고시 제1971-37호)     1972.02.01   사무관(5급)역으로 승격     1987.12.30   역사 신축 준공     2005.01.20   수도권전철 개통     2006.04.--   평택민자역사 신축&nbsp;관계로 임시역사로 이전     2006.05.01   소화물 취급 중지     2006.05.--   평택민자역사 착공     2009.04.24   평택민자역사 준공     2009.06.01   누리로 열차 운행 개시     2014.05.12   ITX-새마을 운행 개시     2015.03.02   평택선 및 평택직결선 사용개시 고시(국토교통부 고시 제2015-87호)     2017.05.01   ITX-청춘 (용산-천안) 급행승강장 정차와 (수원~천안~신창) 완행승강장 정차     2017.12.18   화물 취급 중지(국토교통부고시 제2017-839호)     2018.04.01   경부선 ITX-청춘 운행 중지     2020.01.01   서울~신창간 누리로 다시 운행 중지     2020.01.20   누리로 재운행 개시(서울~신창)     2020.03.02   호남선,충북선 누리로 운행 중지     2020.06.01   누리로 운행 중지(서울~신창)    ",127.085794,平 澤 驛,"여객취급,승차권발매,화물취급",Pyeongtaek Station,"평택역(Pyeongtaek station, 平澤驛)은 경기도 평택시 평택동에 있는 경부선의 철도역이다. 본래 역사가 처음 건립되었을 때는 경부선 서쪽에 위치한 진위군 병남면 통복리 (지금의 원평동)에 있었으나, 한국전쟁 때 폭격으로 인해 역사가 파괴되고 1953년에 현 위치에 새로 신축하였다.이 역은 한국철도공사 (KORAIL,코레일)이 관리중이다. 현재의 역사는 민자역사로서 2009년 4월 24일에 완공하였으며 AK플라자가 입점했다. 일부 ITX-새마을과 새마을호와 모든 무궁화호, 수도권 전철 1호선이 정차한다. 이 역에서 성환역까지는 경기도와 충청남도의 경계를 지나고 거리가 9.4 km로 상당히 멀다. 또한 경기도 안성시민들의 수도권 전철 이용 수단으로도 이용된다. 향후 이 역부터 분기되는 평택선이 포승역까지 연장될 예정이다. ",2021-09-29
